PetID,target_adopcion_lenta,conjunto_petfinder,ruta_imagen_principal,numero_imagen_principal,PhotoAmt,VideoAmt,image_width,image_height,image_aspect_ratio
c30dd6e9a,0,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\c30dd6e9a-1.jpg,1.0,2.0,0,226.0,400.0,0.565
be9474b85,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\be9474b85-1.jpg,1.0,1.0,0,360.0,480.0,0.75
815f4cc08,1,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\815f4cc08-1.jpg,1.0,3.0,0,270.0,480.0,0.5625
867308404,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\867308404-1.jpg,1.0,3.0,0,300.0,400.0,0.75
258667857,0,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\258667857-1.jpg,1.0,4.0,0,360.0,480.0,0.75
fd3172797,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\fd3172797-1.jpg,1.0,11.0,3,400.0,300.0,1.3333333333333333
8df0bb3b3,1,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\8df0bb3b3-1.jpg,1.0,18.0,4,225.0,300.0,0.75
3d0752cd9,1,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\3d0752cd9-1.jpg,1.0,5.0,0,400.0,400.0,1.0
6a763a055,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\6a763a055-1.jpg,1.0,2.0,0,400.0,299.0,1.3377926421404682
a44d42407,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\a44d42407-1.jpg,1.0,3.0,0,266.0,400.0,0.665
cc8401c02,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\cc8401c02-1.jpg,1.0,3.0,0,640.0,360.0,1.7777777777777777
43ddb2eb4,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\43ddb2eb4-1.jpg,1.0,2.0,0,400.0,385.0,1.0389610389610389
dae92dd61,1,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\dae92dd61-1.jpg,1.0,3.0,0,360.0,480.0,0.75
a6ac8884b,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\a6ac8884b-1.jpg,1.0,1.0,0,400.0,225.0,1.7777777777777777
d50e11ec5,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\d50e11ec5-1.jpg,1.0,2.0,0,356.0,480.0,0.7416666666666667
27b6e5aca,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\27b6e5aca-1.jpg,1.0,4.0,0,257.0,480.0,0.5354166666666667
80ebea85c,1,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\80ebea85c-1.jpg,1.0,5.0,0,299.0,400.0,0.7475
b84dad49f,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\b84dad49f-1.jpg,1.0,3.0,0,270.0,480.0,0.5625
f0a2122d4,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\f0a2122d4-1.jpg,1.0,4.0,0,225.0,300.0,0.75
46d88ca3e,0,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\46d88ca3e-1.jpg,1.0,4.0,0,640.0,480.0,1.3333333333333333
c61f6507e,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\c61f6507e-1.jpg,1.0,3.0,0,400.0,225.0,1.7777777777777777
e464fcd4b,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\e464fcd4b-1.jpg,1.0,4.0,0,400.0,300.0,1.3333333333333333
86379f12f,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\86379f12f-1.jpg,1.0,1.0,0,271.0,479.0,0.5657620041753654
392d3346e,0,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\392d3346e-1.jpg,1.0,4.0,0,640.0,480.0,1.3333333333333333
35c0c3aca,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\35c0c3aca-1.jpg,1.0,6.0,0,300.0,400.0,0.75
d080818c3,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\d080818c3-1.jpg,1.0,3.0,0,203.0,360.0,0.5638888888888889
6f0cb510a,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\6f0cb510a-1.jpg,1.0,3.0,0,640.0,360.0,1.7777777777777777
61ac3c78c,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\61ac3c78c-1.jpg,1.0,1.0,0,299.0,400.0,0.7475
368b2adc1,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\368b2adc1-1.jpg,1.0,5.0,0,640.0,634.0,1.0094637223974763
4c594983d,1,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\4c594983d-1.jpg,1.0,5.0,0,360.0,480.0,0.75
05f99fc56,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\05f99fc56-1.jpg,1.0,4.0,0,640.0,449.0,1.4253897550111359
6d9b202c9,1,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\6d9b202c9-1.jpg,1.0,10.0,0,400.0,300.0,1.3333333333333333
54791dc58,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\54791dc58-1.jpg,1.0,3.0,0,267.0,400.0,0.6675
48b418070,1,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\48b418070-1.jpg,1.0,2.0,0,300.0,400.0,0.75
8e0d65b3e,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\8e0d65b3e-1.jpg,1.0,1.0,0,400.0,300.0,1.3333333333333333
9a34ddc8b,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\9a34ddc8b-1.jpg,1.0,2.0,0,300.0,400.0,0.75
474bccd75,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\474bccd75-1.jpg,1.0,2.0,0,527.0,480.0,1.0979166666666667
e4abb93bf,1,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\e4abb93bf-1.jpg,1.0,2.0,0,400.0,300.0,1.3333333333333333
a8cdba660,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\a8cdba660-1.jpg,1.0,11.0,0,225.0,400.0,0.5625
9bcd62ef1,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\9bcd62ef1-1.jpg,1.0,4.0,0,300.0,400.0,0.75
c3f2f166d,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\c3f2f166d-1.jpg,1.0,1.0,1,400.0,225.0,1.7777777777777777
687e9c33c,1,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\687e9c33c-1.jpg,1.0,1.0,0,640.0,640.0,1.0
bb5f471dd,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\bb5f471dd-1.jpg,1.0,1.0,0,360.0,480.0,0.75
dcba09ff1,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\dcba09ff1-1.jpg,1.0,5.0,0,272.0,399.0,0.681704260651629
d7f938acd,0,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\d7f938acd-1.jpg,1.0,4.0,0,640.0,640.0,1.0
ea11b6f12,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\ea11b6f12-1.jpg,1.0,3.0,0,400.0,267.0,1.4981273408239701
3332eb59c,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\3332eb59c-1.jpg,1.0,5.0,0,400.0,300.0,1.3333333333333333
594e3dc3f,1,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\594e3dc3f-1.jpg,1.0,1.0,0,296.0,480.0,0.6166666666666667
fbb112b7e,1,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\fbb112b7e-1.jpg,1.0,4.0,0,300.0,400.0,0.75
d14d62508,0,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\d14d62508-1.jpg,1.0,2.0,0,360.0,480.0,0.75
747c82f83,0,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\747c82f83-1.jpg,1.0,9.0,0,400.0,300.0,1.3333333333333333
c737c30d7,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\c737c30d7-1.jpg,1.0,1.0,0,240.0,400.0,0.6
03b0568b3,1,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\03b0568b3-1.jpg,1.0,5.0,0,399.0,297.0,1.3434343434343434
5c28a8cec,0,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\5c28a8cec-1.jpg,1.0,3.0,0,363.0,400.0,0.9075
2c8ae4c7e,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\2c8ae4c7e-1.jpg,1.0,2.0,0,640.0,640.0,1.0
cd7bea671,1,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\cd7bea671-1.jpg,1.0,3.0,0,270.0,480.0,0.5625
aa189a931,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\aa189a931-1.jpg,1.0,2.0,0,270.0,480.0,0.5625
3b4a987ba,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\3b4a987ba-1.jpg,1.0,3.0,0,291.0,400.0,0.7275
1bbb46822,1,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\1bbb46822-1.jpg,1.0,1.0,0,297.0,371.0,0.8005390835579514
702bee848,0,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\702bee848-1.jpg,1.0,5.0,0,360.0,480.0,0.75
66757255c,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\66757255c-1.jpg,1.0,1.0,1,270.0,480.0,0.5625
0b0f596b5,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\0b0f596b5-1.jpg,1.0,4.0,0,275.0,480.0,0.5729166666666666
938bcf142,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\938bcf142-1.jpg,1.0,2.0,0,640.0,480.0,1.3333333333333333
bea72e6c5,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\bea72e6c5-1.jpg,1.0,24.0,0,270.0,480.0,0.5625
52e555a3a,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\52e555a3a-1.jpg,1.0,3.0,0,300.0,400.0,0.75
3998bcfec,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\3998bcfec-1.jpg,1.0,1.0,0,640.0,505.0,1.2673267326732673
e62e5aa26,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\e62e5aa26-1.jpg,1.0,9.0,0,360.0,480.0,0.75
1eb8a0278,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\1eb8a0278-1.jpg,1.0,3.0,0,400.0,225.0,1.7777777777777777
207d61997,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\207d61997-1.jpg,1.0,8.0,0,400.0,300.0,1.3333333333333333
65d10be4d,1,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\65d10be4d-1.jpg,1.0,3.0,0,300.0,400.0,0.75
c7b468b32,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\c7b468b32-1.jpg,1.0,1.0,0,360.0,480.0,0.75
249112486,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\249112486-1.jpg,1.0,1.0,0,342.0,400.0,0.855
b243b8e93,0,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\b243b8e93-1.jpg,1.0,5.0,0,400.0,400.0,1.0
89523a695,1,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\89523a695-1.jpg,1.0,2.0,0,225.0,400.0,0.5625
b5fcc079e,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\b5fcc079e-1.jpg,1.0,5.0,0,300.0,400.0,0.75
d4e83ee5b,1,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\d4e83ee5b-1.jpg,1.0,8.0,1,243.0,400.0,0.6075
74e316be1,0,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\74e316be1-1.jpg,1.0,2.0,0,306.0,480.0,0.6375
039509c40,0,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\039509c40-1.jpg,1.0,4.0,0,300.0,400.0,0.75
eeb60466e,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\eeb60466e-1.jpg,1.0,5.0,0,640.0,640.0,1.0
82137b39f,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\82137b39f-1.jpg,1.0,3.0,0,289.0,480.0,0.6020833333333333
f70251906,1,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\f70251906-1.jpg,1.0,5.0,0,360.0,480.0,0.75
e83f846eb,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\e83f846eb-1.jpg,1.0,6.0,0,300.0,400.0,0.75
60b9421cc,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\60b9421cc-1.jpg,1.0,1.0,0,640.0,640.0,1.0
ae03f99f2,1,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\ae03f99f2-1.jpg,1.0,5.0,0,400.0,300.0,1.3333333333333333
6a5c652b5,1,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\6a5c652b5-1.jpg,1.0,1.0,0,270.0,480.0,0.5625
706a9cd5c,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\706a9cd5c-1.jpg,1.0,1.0,0,298.0,400.0,0.745
62550cf78,0,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\62550cf78-1.jpg,1.0,3.0,0,360.0,480.0,0.75
701c5afba,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\701c5afba-1.jpg,1.0,1.0,0,300.0,400.0,0.75
7bce76c66,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\7bce76c66-1.jpg,1.0,3.0,0,400.0,278.0,1.4388489208633093
3b0b88ac2,0,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\3b0b88ac2-1.jpg,1.0,3.0,0,270.0,480.0,0.5625
a88d34ee3,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\a88d34ee3-1.jpg,1.0,2.0,0,400.0,300.0,1.3333333333333333
061378b30,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\061378b30-1.jpg,1.0,2.0,0,370.0,480.0,0.7708333333333334
d5b9e0322,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\d5b9e0322-1.jpg,1.0,8.0,0,533.0,370.0,1.4405405405405405
a2dc697f6,1,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\a2dc697f6-1.jpg,1.0,12.0,0,360.0,480.0,0.75
be7b65c23,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\be7b65c23-1.jpg,1.0,9.0,1,388.0,480.0,0.8083333333333333
e37f4aa07,1,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\e37f4aa07-1.jpg,1.0,1.0,0,400.0,300.0,1.3333333333333333
7de2f688b,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\7de2f688b-1.jpg,1.0,4.0,1,360.0,480.0,0.75
e7020fa9a,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\e7020fa9a-1.jpg,1.0,4.0,0,640.0,360.0,1.7777777777777777
be23e42d0,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\be23e42d0-1.jpg,1.0,3.0,0,400.0,351.0,1.1396011396011396
1c59cecac,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\1c59cecac-1.jpg,1.0,10.0,0,400.0,300.0,1.3333333333333333
e7e1904f4,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\e7e1904f4-1.jpg,1.0,3.0,0,640.0,478.0,1.3389121338912133
d78d1dec0,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\d78d1dec0-1.jpg,1.0,5.0,0,360.0,480.0,0.75
0443d6f82,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\0443d6f82-1.jpg,1.0,5.0,0,400.0,300.0,1.3333333333333333
fa1a30192,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\fa1a30192-1.jpg,1.0,2.0,0,300.0,400.0,0.75
d4d6997e3,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\d4d6997e3-1.jpg,1.0,2.0,0,300.0,400.0,0.75
d13d93f69,0,test,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\d13d93f69-1.jpg,1.0,4.0,0,400.0,225.0,1.7777777777777777
3bef75882,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\3bef75882-1.jpg,1.0,2.0,0,290.0,400.0,0.725
60bf93971,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\60bf93971-1.jpg,1.0,3.0,0,300.0,400.0,0.75
e9eeadf82,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\e9eeadf82-1.jpg,1.0,2.0,0,223.0,480.0,0.46458333333333335
a4530b1d0,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\a4530b1d0-1.jpg,1.0,1.0,0,399.0,252.0,1.5833333333333333
da6bb3100,1,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\da6bb3100-1.jpg,1.0,13.0,0,400.0,267.0,1.4981273408239701
79669f807,0,train,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\79669f807-1.jpg,1.0,1.0,0,203.0,360.0,0.5638888888888889
3af2b1473,1,valid,g:\Mi unidad\TFM\invisible-dogs-tfm\data\raw_petfinder\train_images\3af2b1473-1.jpg,1.0,1.0,0,270.0,480.0,0.5625
