PetID,ruta_imagen_principal,conjunto_petfinder,raza_principal,raza_secundaria,prob_adopcion_lenta_petfinder_final,pred_adopcion_lenta_petfinder_final,nivel_riesgo_relativo,origen_score_petfinder_final
671ffc570,data/raw_petfinder/train_images/671ffc570-1.jpg,valid,Jack Russell Terrier,Mixed Breed,0.507861849048829,1,Medio,OOF desarrollo
aece6e7bf,data/raw_petfinder/train_images/aece6e7bf-1.jpg,train,Mixed Breed,,0.6400373200215558,1,Alto,OOF desarrollo
c1e816568,data/raw_petfinder/train_images/c1e816568-1.jpg,train,Mixed Breed,,0.5151748032523138,1,Medio,OOF desarrollo
ea159d8da,data/raw_petfinder/train_images/ea159d8da-1.jpg,train,Mixed Breed,,0.6891155554156249,1,Alto,OOF desarrollo
af1035c81,data/raw_petfinder/train_images/af1035c81-1.jpg,train,Mixed Breed,,0.5421887245817671,1,Medio,OOF desarrollo
6fecc5cf7,data/raw_petfinder/train_images/6fecc5cf7-1.jpg,train,Mixed Breed,Labrador Retriever,0.3435326459032225,0,Bajo,OOF desarrollo
015c75c9e,data/raw_petfinder/train_images/015c75c9e-1.jpg,train,Mixed Breed,,0.3227016386868273,0,Bajo,OOF desarrollo
9609a0b86,data/raw_petfinder/train_images/9609a0b86-1.jpg,train,Mixed Breed,Mixed Breed,0.7230025054732143,1,Alto,OOF desarrollo
d765ae877,data/raw_petfinder/train_images/d765ae877-1.jpg,train,Mixed Breed,,0.6140732409383989,1,Alto,OOF desarrollo
8ce183889,data/raw_petfinder/train_images/8ce183889-1.jpg,train,Mixed Breed,,0.4817564999915426,1,Medio,OOF desarrollo
f0ef9c777,data/raw_petfinder/train_images/f0ef9c777-1.jpg,train,Mixed Breed,,0.7585095132152416,1,Alto,OOF desarrollo
3181e5424,data/raw_petfinder/train_images/3181e5424-1.jpg,valid,Mixed Breed,,0.6328521932840709,1,Alto,OOF desarrollo
9883a048e,data/raw_petfinder/train_images/9883a048e-1.jpg,train,Mixed Breed,,0.3281470234504432,0,Bajo,OOF desarrollo
b0dec8779,data/raw_petfinder/train_images/b0dec8779-1.jpg,test,Spitz,Mixed Breed,0.4841122549312959,1,Medio,Test fuera de muestra
e8d0907ae,data/raw_petfinder/train_images/e8d0907ae-1.jpg,test,Shih Tzu,,0.4115262103911248,1,Bajo,Test fuera de muestra
ef14861df,data/raw_petfinder/train_images/ef14861df-1.jpg,train,Mixed Breed,,0.6929210403058343,1,Alto,OOF desarrollo
a9bc357f0,data/raw_petfinder/train_images/a9bc357f0-1.jpg,train,Mixed Breed,,0.657782105764166,1,Alto,OOF desarrollo
aaf4a1439,data/raw_petfinder/train_images/aaf4a1439-1.jpg,test,Mixed Breed,Mixed Breed,0.6164434050087242,1,Alto,Test fuera de muestra
1e62e6022,data/raw_petfinder/train_images/1e62e6022-1.jpg,train,Labrador Retriever,Jack Russell Terrier,0.311274137856663,0,Bajo,OOF desarrollo
4e797dcdd,data/raw_petfinder/train_images/4e797dcdd-1.jpg,test,Mixed Breed,,0.4979514707119407,1,Medio,Test fuera de muestra
45d2ddcb8,data/raw_petfinder/train_images/45d2ddcb8-1.jpg,train,Pit Bull Terrier,Finnish Spitz,0.5768369327317845,1,Medio,OOF desarrollo
259b10a3e,data/raw_petfinder/train_images/259b10a3e-1.jpg,train,Mixed Breed,,0.5324021769546,1,Medio,OOF desarrollo
d2490c888,data/raw_petfinder/train_images/d2490c888-1.jpg,train,Mixed Breed,,0.4840406883598694,1,Medio,OOF desarrollo
2c93c0c11,data/raw_petfinder/train_images/2c93c0c11-1.jpg,valid,Mixed Breed,,0.750286314930077,1,Alto,OOF desarrollo
35593da00,data/raw_petfinder/train_images/35593da00-1.jpg,valid,Mixed Breed,Mixed Breed,0.3449616949908518,0,Bajo,OOF desarrollo
4cc70e613,data/raw_petfinder/train_images/4cc70e613-1.jpg,train,Mixed Breed,,0.5711884333595967,1,Medio,OOF desarrollo
ff125cf8d,data/raw_petfinder/train_images/ff125cf8d-1.jpg,valid,Mixed Breed,,0.6488180518408944,1,Alto,OOF desarrollo
c30dd6e9a,data/raw_petfinder/train_images/c30dd6e9a-1.jpg,test,Silky Terrier,,0.2057929310374932,0,Bajo,Test fuera de muestra
be9474b85,data/raw_petfinder/train_images/be9474b85-1.jpg,train,Mixed Breed,,0.5428252262332653,1,Medio,OOF desarrollo
815f4cc08,data/raw_petfinder/train_images/815f4cc08-1.jpg,valid,Mixed Breed,Labrador Retriever,0.4701125673439361,1,Medio,OOF desarrollo
867308404,data/raw_petfinder/train_images/867308404-1.jpg,train,Mixed Breed,,0.4395623914867176,1,Bajo,OOF desarrollo
258667857,data/raw_petfinder/train_images/258667857-1.jpg,test,Rottweiler,Mixed Breed,0.3001600175942371,0,Bajo,Test fuera de muestra
fd3172797,data/raw_petfinder/train_images/fd3172797-1.jpg,train,Mixed Breed,,0.8081565608313215,1,Alto,OOF desarrollo
8df0bb3b3,data/raw_petfinder/train_images/8df0bb3b3-1.jpg,test,Mixed Breed,Dalmatian,0.5579832099589436,1,Medio,Test fuera de muestra
3d0752cd9,data/raw_petfinder/train_images/3d0752cd9-1.jpg,valid,Mixed Breed,,0.376807299475959,0,Bajo,OOF desarrollo
6a763a055,data/raw_petfinder/train_images/6a763a055-1.jpg,train,Mixed Breed,,0.3893573086868912,0,Bajo,OOF desarrollo
a44d42407,data/raw_petfinder/train_images/a44d42407-1.jpg,train,Silky Terrier,Pekingese,0.3718022646393876,0,Bajo,OOF desarrollo
cc8401c02,data/raw_petfinder/train_images/cc8401c02-1.jpg,train,Mixed Breed,,0.6846872498112841,1,Alto,OOF desarrollo
43ddb2eb4,data/raw_petfinder/train_images/43ddb2eb4-1.jpg,train,Husky,Mixed Breed,0.4812394550491611,1,Medio,OOF desarrollo
dae92dd61,data/raw_petfinder/train_images/dae92dd61-1.jpg,valid,Schnauzer,,0.4081421955392744,1,Bajo,OOF desarrollo
a6ac8884b,data/raw_petfinder/train_images/a6ac8884b-1.jpg,train,Mixed Breed,Mixed Breed,0.4899101613937037,1,Medio,OOF desarrollo
d50e11ec5,data/raw_petfinder/train_images/d50e11ec5-1.jpg,train,Mixed Breed,,0.4405372060390492,1,Bajo,OOF desarrollo
27b6e5aca,data/raw_petfinder/train_images/27b6e5aca-1.jpg,train,Mixed Breed,,0.5079561265374193,1,Medio,OOF desarrollo
80ebea85c,data/raw_petfinder/train_images/80ebea85c-1.jpg,test,Mixed Breed,Mixed Breed,0.5917492343913238,1,Medio,Test fuera de muestra
b84dad49f,data/raw_petfinder/train_images/b84dad49f-1.jpg,train,Mixed Breed,,0.7542175070921023,1,Alto,OOF desarrollo
f0a2122d4,data/raw_petfinder/train_images/f0a2122d4-1.jpg,train,Mixed Breed,,0.4991900022528006,1,Medio,OOF desarrollo
46d88ca3e,data/raw_petfinder/train_images/46d88ca3e-1.jpg,test,Golden Retriever,,0.4874991966338995,1,Medio,Test fuera de muestra
c61f6507e,data/raw_petfinder/train_images/c61f6507e-1.jpg,train,Mixed Breed,,0.6052554771694147,1,Alto,OOF desarrollo
e464fcd4b,data/raw_petfinder/train_images/e464fcd4b-1.jpg,train,Rottweiler,,0.4240748095768882,1,Bajo,OOF desarrollo
86379f12f,data/raw_petfinder/train_images/86379f12f-1.jpg,train,Siberian Husky,,0.3928893720791261,1,Bajo,OOF desarrollo
392d3346e,data/raw_petfinder/train_images/392d3346e-1.jpg,valid,Mixed Breed,Mixed Breed,0.5787150635581695,1,Medio,OOF desarrollo
35c0c3aca,data/raw_petfinder/train_images/35c0c3aca-1.jpg,train,Collie,Basenji,0.4692328168036789,1,Medio,OOF desarrollo
d080818c3,data/raw_petfinder/train_images/d080818c3-1.jpg,train,German Shepherd Dog,Mixed Breed,0.5767595599018631,1,Medio,OOF desarrollo
6f0cb510a,data/raw_petfinder/train_images/6f0cb510a-1.jpg,train,Mixed Breed,,0.3385229547860456,0,Bajo,OOF desarrollo
61ac3c78c,data/raw_petfinder/train_images/61ac3c78c-1.jpg,train,Mixed Breed,,0.6849801136416995,1,Alto,OOF desarrollo
368b2adc1,data/raw_petfinder/train_images/368b2adc1-1.jpg,train,Mixed Breed,,0.6512496963826447,1,Alto,OOF desarrollo
4c594983d,data/raw_petfinder/train_images/4c594983d-1.jpg,test,Mixed Breed,Mixed Breed,0.827256850393187,1,Alto,Test fuera de muestra
05f99fc56,data/raw_petfinder/train_images/05f99fc56-1.jpg,train,Doberman Pinscher,Mixed Breed,0.5808639725733076,1,Medio,OOF desarrollo
6d9b202c9,data/raw_petfinder/train_images/6d9b202c9-1.jpg,valid,Mixed Breed,Bluetick Coonhound,0.7002797402628047,1,Alto,OOF desarrollo
54791dc58,data/raw_petfinder/train_images/54791dc58-1.jpg,train,Mixed Breed,,0.3175323579560908,0,Bajo,OOF desarrollo
48b418070,data/raw_petfinder/train_images/48b418070-1.jpg,valid,American Staffordshire Terrier,,0.696357557512878,1,Alto,OOF desarrollo
8e0d65b3e,data/raw_petfinder/train_images/8e0d65b3e-1.jpg,train,Beagle,Schnauzer,0.5208282831184362,1,Medio,OOF desarrollo
9a34ddc8b,data/raw_petfinder/train_images/9a34ddc8b-1.jpg,train,Mixed Breed,,0.7327863948674694,1,Alto,OOF desarrollo
474bccd75,data/raw_petfinder/train_images/474bccd75-1.jpg,train,Mixed Breed,Mixed Breed,0.7201254394842582,1,Alto,OOF desarrollo
e4abb93bf,data/raw_petfinder/train_images/e4abb93bf-1.jpg,valid,Mixed Breed,,0.6787501885223909,1,Alto,OOF desarrollo
a8cdba660,data/raw_petfinder/train_images/a8cdba660-1.jpg,train,Mixed Breed,,0.6259854043009931,1,Alto,OOF desarrollo
9bcd62ef1,data/raw_petfinder/train_images/9bcd62ef1-1.jpg,train,Doberman Pinscher,,0.541009380817132,1,Medio,OOF desarrollo
c3f2f166d,data/raw_petfinder/train_images/c3f2f166d-1.jpg,train,Mixed Breed,,0.6679585337795286,1,Alto,OOF desarrollo
687e9c33c,data/raw_petfinder/train_images/687e9c33c-1.jpg,valid,Mixed Breed,,0.7330766682181635,1,Alto,OOF desarrollo
bb5f471dd,data/raw_petfinder/train_images/bb5f471dd-1.jpg,train,Doberman Pinscher,,0.6106802502008317,1,Alto,OOF desarrollo
dcba09ff1,data/raw_petfinder/train_images/dcba09ff1-1.jpg,train,Mixed Breed,,0.5099071074372471,1,Medio,OOF desarrollo
d7f938acd,data/raw_petfinder/train_images/d7f938acd-1.jpg,test,Mixed Breed,,0.475712100304499,1,Medio,Test fuera de muestra
ea11b6f12,data/raw_petfinder/train_images/ea11b6f12-1.jpg,train,Mixed Breed,,0.509834632410314,1,Medio,OOF desarrollo
3332eb59c,data/raw_petfinder/train_images/3332eb59c-1.jpg,train,Mixed Breed,Mixed Breed,0.5722044161315001,1,Medio,OOF desarrollo
594e3dc3f,data/raw_petfinder/train_images/594e3dc3f-1.jpg,valid,Mixed Breed,,0.6074317889602692,1,Alto,OOF desarrollo
fbb112b7e,data/raw_petfinder/train_images/fbb112b7e-1.jpg,test,Mixed Breed,,0.3158119421249422,0,Bajo,Test fuera de muestra
d14d62508,data/raw_petfinder/train_images/d14d62508-1.jpg,test,Mixed Breed,,0.4019300495184176,1,Bajo,Test fuera de muestra
747c82f83,data/raw_petfinder/train_images/747c82f83-1.jpg,test,Mixed Breed,,0.5773382096689853,1,Medio,Test fuera de muestra
c737c30d7,data/raw_petfinder/train_images/c737c30d7-1.jpg,train,Mixed Breed,,0.7316801861308893,1,Alto,OOF desarrollo
03b0568b3,data/raw_petfinder/train_images/03b0568b3-1.jpg,test,Mixed Breed,,0.613228579778427,1,Alto,Test fuera de muestra
5c28a8cec,data/raw_petfinder/train_images/5c28a8cec-1.jpg,valid,Mixed Breed,Labrador Retriever,0.6087085977366102,1,Alto,OOF desarrollo
2c8ae4c7e,data/raw_petfinder/train_images/2c8ae4c7e-1.jpg,train,Mixed Breed,Mixed Breed,0.580852565027861,1,Medio,OOF desarrollo
cd7bea671,data/raw_petfinder/train_images/cd7bea671-1.jpg,test,Mixed Breed,,0.6807335173293549,1,Alto,Test fuera de muestra
aa189a931,data/raw_petfinder/train_images/aa189a931-1.jpg,train,Mixed Breed,,0.823564043479573,1,Alto,OOF desarrollo
3b4a987ba,data/raw_petfinder/train_images/3b4a987ba-1.jpg,train,Mixed Breed,,0.483422316363359,1,Medio,OOF desarrollo
1bbb46822,data/raw_petfinder/train_images/1bbb46822-1.jpg,test,Mixed Breed,,0.4687580274361623,1,Medio,Test fuera de muestra
702bee848,data/raw_petfinder/train_images/702bee848-1.jpg,test,Mixed Breed,,0.6604343828812915,1,Alto,Test fuera de muestra
66757255c,data/raw_petfinder/train_images/66757255c-1.jpg,train,Mixed Breed,,0.5793126187885018,1,Medio,OOF desarrollo
0b0f596b5,data/raw_petfinder/train_images/0b0f596b5-1.jpg,train,Mixed Breed,,0.3194338552937,0,Bajo,OOF desarrollo
938bcf142,data/raw_petfinder/train_images/938bcf142-1.jpg,train,Mixed Breed,,0.6301906717263712,1,Alto,OOF desarrollo
bea72e6c5,data/raw_petfinder/train_images/bea72e6c5-1.jpg,train,Mixed Breed,,0.9169527723389715,1,Alto,OOF desarrollo
52e555a3a,data/raw_petfinder/train_images/52e555a3a-1.jpg,train,Mixed Breed,,0.2831629870524694,0,Bajo,OOF desarrollo
3998bcfec,data/raw_petfinder/train_images/3998bcfec-1.jpg,train,Mixed Breed,,0.6346360365465857,1,Alto,OOF desarrollo
e62e5aa26,data/raw_petfinder/train_images/e62e5aa26-1.jpg,train,Mixed Breed,,0.4491239548272175,1,Bajo,OOF desarrollo
1eb8a0278,data/raw_petfinder/train_images/1eb8a0278-1.jpg,train,Shih Tzu,Maltese,0.4322612253718412,1,Bajo,OOF desarrollo
207d61997,data/raw_petfinder/train_images/207d61997-1.jpg,train,Shih Tzu,Pomeranian,0.4080395053092316,1,Bajo,OOF desarrollo
65d10be4d,data/raw_petfinder/train_images/65d10be4d-1.jpg,test,Mixed Breed,,0.600913067628378,1,Medio,Test fuera de muestra
c7b468b32,data/raw_petfinder/train_images/c7b468b32-1.jpg,train,Mixed Breed,,0.5314885278533534,1,Medio,OOF desarrollo
249112486,data/raw_petfinder/train_images/249112486-1.jpg,train,Mixed Breed,Mixed Breed,0.4476182832101468,1,Bajo,OOF desarrollo
b243b8e93,data/raw_petfinder/train_images/b243b8e93-1.jpg,valid,Mixed Breed,,0.483345405595827,1,Medio,OOF desarrollo
89523a695,data/raw_petfinder/train_images/89523a695-1.jpg,valid,Mixed Breed,,0.3697625674165896,0,Bajo,OOF desarrollo
b5fcc079e,data/raw_petfinder/train_images/b5fcc079e-1.jpg,train,Golden Retriever,Mixed Breed,0.6124377202630973,1,Alto,OOF desarrollo
d4e83ee5b,data/raw_petfinder/train_images/d4e83ee5b-1.jpg,test,Mixed Breed,Labrador Retriever,0.4808212976612545,1,Medio,Test fuera de muestra
74e316be1,data/raw_petfinder/train_images/74e316be1-1.jpg,test,Mixed Breed,,0.6772211160371606,1,Alto,Test fuera de muestra
039509c40,data/raw_petfinder/train_images/039509c40-1.jpg,valid,Mixed Breed,,0.4374269840003835,1,Bajo,OOF desarrollo
eeb60466e,data/raw_petfinder/train_images/eeb60466e-1.jpg,train,Mixed Breed,,0.393421121745605,1,Bajo,OOF desarrollo
82137b39f,data/raw_petfinder/train_images/82137b39f-1.jpg,train,Mixed Breed,,0.8270443340034174,1,Alto,OOF desarrollo
f70251906,data/raw_petfinder/train_images/f70251906-1.jpg,valid,Mixed Breed,,0.8657185527703983,1,Alto,OOF desarrollo
e83f846eb,data/raw_petfinder/train_images/e83f846eb-1.jpg,train,Mixed Breed,Labrador Retriever,0.5878840284416731,1,Medio,OOF desarrollo
60b9421cc,data/raw_petfinder/train_images/60b9421cc-1.jpg,train,Mixed Breed,,0.7474617175459911,1,Alto,OOF desarrollo
ae03f99f2,data/raw_petfinder/train_images/ae03f99f2-1.jpg,test,Mixed Breed,,0.4276492702842293,1,Bajo,Test fuera de muestra
6a5c652b5,data/raw_petfinder/train_images/6a5c652b5-1.jpg,test,Mixed Breed,,0.739094985848926,1,Alto,Test fuera de muestra
706a9cd5c,data/raw_petfinder/train_images/706a9cd5c-1.jpg,train,Mixed Breed,,0.7484046832787326,1,Alto,OOF desarrollo
62550cf78,data/raw_petfinder/train_images/62550cf78-1.jpg,test,Cocker Spaniel,Akbash,0.4341522853650766,1,Bajo,Test fuera de muestra
701c5afba,data/raw_petfinder/train_images/701c5afba-1.jpg,train,Mixed Breed,,0.4117660943772245,1,Bajo,OOF desarrollo
7bce76c66,data/raw_petfinder/train_images/7bce76c66-1.jpg,train,Shih Tzu,,0.2885932657706673,0,Bajo,OOF desarrollo
3b0b88ac2,data/raw_petfinder/train_images/3b0b88ac2-1.jpg,valid,Poodle,Poodle,0.3227876979086502,0,Bajo,OOF desarrollo
a88d34ee3,data/raw_petfinder/train_images/a88d34ee3-1.jpg,train,Terrier,Shih Tzu,0.3329843736986473,0,Bajo,OOF desarrollo
061378b30,data/raw_petfinder/train_images/061378b30-1.jpg,train,Black Labrador Retriever,Mixed Breed,0.5729411813079813,1,Medio,OOF desarrollo
d5b9e0322,data/raw_petfinder/train_images/d5b9e0322-1.jpg,train,Labrador Retriever,,0.3726722885567999,0,Bajo,OOF desarrollo
a2dc697f6,data/raw_petfinder/train_images/a2dc697f6-1.jpg,test,Mixed Breed,,0.4375057245320928,1,Bajo,Test fuera de muestra
be7b65c23,data/raw_petfinder/train_images/be7b65c23-1.jpg,train,Jack Russell Terrier,Mixed Breed,0.5136785666568453,1,Medio,OOF desarrollo
e37f4aa07,data/raw_petfinder/train_images/e37f4aa07-1.jpg,test,Mixed Breed,,0.7002942835312622,1,Alto,Test fuera de muestra
7de2f688b,data/raw_petfinder/train_images/7de2f688b-1.jpg,train,Mixed Breed,,0.5519860172553162,1,Medio,OOF desarrollo
e7020fa9a,data/raw_petfinder/train_images/e7020fa9a-1.jpg,train,Mixed Breed,Mixed Breed,0.2941048943943468,0,Bajo,OOF desarrollo
be23e42d0,data/raw_petfinder/train_images/be23e42d0-1.jpg,train,Mixed Breed,,0.4519369633516898,1,Bajo,OOF desarrollo
1c59cecac,data/raw_petfinder/train_images/1c59cecac-1.jpg,train,Beagle,Mixed Breed,0.8095409033259948,1,Alto,OOF desarrollo
e7e1904f4,data/raw_petfinder/train_images/e7e1904f4-1.jpg,train,Mixed Breed,,0.7739760042814109,1,Alto,OOF desarrollo
d78d1dec0,data/raw_petfinder/train_images/d78d1dec0-1.jpg,train,Mixed Breed,Mixed Breed,0.7104484992717166,1,Alto,OOF desarrollo
0443d6f82,data/raw_petfinder/train_images/0443d6f82-1.jpg,train,Collie,Mixed Breed,0.3914908018100396,1,Bajo,OOF desarrollo
fa1a30192,data/raw_petfinder/train_images/fa1a30192-1.jpg,train,Mixed Breed,,0.4961770071302033,1,Medio,OOF desarrollo
d4d6997e3,data/raw_petfinder/train_images/d4d6997e3-1.jpg,train,Mixed Breed,,0.4984519800674531,1,Medio,OOF desarrollo
d13d93f69,data/raw_petfinder/train_images/d13d93f69-1.jpg,test,Mixed Breed,Husky,0.4639760822223452,1,Medio,Test fuera de muestra
3bef75882,data/raw_petfinder/train_images/3bef75882-1.jpg,train,Mixed Breed,Mixed Breed,0.687458862151401,1,Alto,OOF desarrollo
60bf93971,data/raw_petfinder/train_images/60bf93971-1.jpg,train,Mixed Breed,Mixed Breed,0.5172459179338382,1,Medio,OOF desarrollo
e9eeadf82,data/raw_petfinder/train_images/e9eeadf82-1.jpg,train,Mixed Breed,Mixed Breed,0.8146151494478227,1,Alto,OOF desarrollo
a4530b1d0,data/raw_petfinder/train_images/a4530b1d0-1.jpg,train,Mixed Breed,,0.4242650038600472,1,Bajo,OOF desarrollo
da6bb3100,data/raw_petfinder/train_images/da6bb3100-1.jpg,train,Mixed Breed,German Shepherd Dog,0.4173965893982004,1,Bajo,OOF desarrollo
79669f807,data/raw_petfinder/train_images/79669f807-1.jpg,train,Mixed Breed,,0.3451557674345379,0,Bajo,OOF desarrollo
3af2b1473,data/raw_petfinder/train_images/3af2b1473-1.jpg,valid,Mixed Breed,,0.6511159053736676,1,Alto,OOF desarrollo
b8976d821,data/raw_petfinder/train_images/b8976d821-1.jpg,train,Mixed Breed,,0.5214830045885614,1,Medio,OOF desarrollo
9eb98f34c,data/raw_petfinder/train_images/9eb98f34c-1.jpg,train,Mixed Breed,,0.3929917848716467,1,Bajo,OOF desarrollo
e317b2a73,data/raw_petfinder/train_images/e317b2a73-1.jpg,train,Beagle,,0.3936903475648711,1,Bajo,OOF desarrollo
ebd78e1d4,data/raw_petfinder/train_images/ebd78e1d4-1.jpg,train,Shar Pei,Mixed Breed,0.4952031894124925,1,Medio,OOF desarrollo
0822c54d5,data/raw_petfinder/train_images/0822c54d5-1.jpg,train,Mixed Breed,,0.435845083893272,1,Bajo,OOF desarrollo
4036e0e12,data/raw_petfinder/train_images/4036e0e12-1.jpg,train,Spitz,,0.6700959571174303,1,Alto,OOF desarrollo
0fb490c9b,data/raw_petfinder/train_images/0fb490c9b-1.jpg,valid,Mixed Breed,Terrier,0.3123832141906278,0,Bajo,OOF desarrollo
284be445a,data/raw_petfinder/train_images/284be445a-1.jpg,valid,Mixed Breed,,0.6593241462112922,1,Alto,OOF desarrollo
145883970,data/raw_petfinder/train_images/145883970-1.jpg,train,Mixed Breed,,0.5696522606756456,1,Medio,OOF desarrollo
e3d9dc96d,data/raw_petfinder/train_images/e3d9dc96d-1.jpg,valid,Mixed Breed,,0.6551349240709685,1,Alto,OOF desarrollo
6e643eba1,data/raw_petfinder/train_images/6e643eba1-1.jpg,train,Mixed Breed,,0.4956219210039246,1,Medio,OOF desarrollo
a1b3dafc9,data/raw_petfinder/train_images/a1b3dafc9-1.jpg,train,Mixed Breed,Mixed Breed,0.6863952085564169,1,Alto,OOF desarrollo
bda2d149e,data/raw_petfinder/train_images/bda2d149e-1.jpg,test,Belgian Shepherd Malinois,Mixed Breed,0.6065969784299841,1,Alto,Test fuera de muestra
6cb5381cb,data/raw_petfinder/train_images/6cb5381cb-1.jpg,test,Mixed Breed,,0.5804991962113293,1,Medio,Test fuera de muestra
a8a8f95f6,data/raw_petfinder/train_images/a8a8f95f6-1.jpg,train,Mixed Breed,,0.4032609130329485,1,Bajo,OOF desarrollo
5eeb10b7a,data/raw_petfinder/train_images/5eeb10b7a-1.jpg,train,Mixed Breed,,0.4595289315198205,1,Medio,OOF desarrollo
f03b04b1e,data/raw_petfinder/train_images/f03b04b1e-1.jpg,train,Mixed Breed,,0.5645866345377968,1,Medio,OOF desarrollo
a672ea96d,data/raw_petfinder/train_images/a672ea96d-1.jpg,train,Beagle,,0.50717758385011,1,Medio,OOF desarrollo
aafb75ee8,data/raw_petfinder/train_images/aafb75ee8-1.jpg,train,Spitz,Terrier,0.5958326917629164,1,Medio,OOF desarrollo
e9cf01a21,data/raw_petfinder/train_images/e9cf01a21-1.jpg,valid,Mixed Breed,,0.6302845130442644,1,Alto,OOF desarrollo
1c74d62ed,data/raw_petfinder/train_images/1c74d62ed-1.jpg,test,Mixed Breed,,0.7679620200726986,1,Alto,Test fuera de muestra
2148c2ef6,data/raw_petfinder/train_images/2148c2ef6-1.jpg,train,Mixed Breed,,0.4645397646449615,1,Medio,OOF desarrollo
479500716,data/raw_petfinder/train_images/479500716-1.jpg,valid,Mixed Breed,,0.4777063639694174,1,Medio,OOF desarrollo
1afdf61ec,data/raw_petfinder/train_images/1afdf61ec-1.jpg,valid,Mixed Breed,,0.5869973061181535,1,Medio,OOF desarrollo
110d4487e,data/raw_petfinder/train_images/110d4487e-1.jpg,train,Shih Tzu,,0.3759278900582634,0,Bajo,OOF desarrollo
27cede3cf,data/raw_petfinder/train_images/27cede3cf-1.jpg,valid,Mixed Breed,,0.4472823147203726,1,Bajo,OOF desarrollo
99dcd9020,data/raw_petfinder/train_images/99dcd9020-1.jpg,train,Mixed Breed,,0.6209172324958598,1,Alto,OOF desarrollo
a13ed5e9d,data/raw_petfinder/train_images/a13ed5e9d-1.jpg,train,Mixed Breed,Mixed Breed,0.5529770565871435,1,Medio,OOF desarrollo
82aa52460,data/raw_petfinder/train_images/82aa52460-1.jpg,train,Mixed Breed,,0.4597360960000832,1,Medio,OOF desarrollo
4c9f111f1,data/raw_petfinder/train_images/4c9f111f1-1.jpg,valid,Mixed Breed,,0.7298605198624954,1,Alto,OOF desarrollo
eb6c692dc,data/raw_petfinder/train_images/eb6c692dc-1.jpg,test,Mixed Breed,Mixed Breed,0.6911037867419092,1,Alto,Test fuera de muestra
109c4f5a8,data/raw_petfinder/train_images/109c4f5a8-1.jpg,valid,Mixed Breed,,0.4298580169079368,1,Bajo,OOF desarrollo
eb652ec07,data/raw_petfinder/train_images/eb652ec07-1.jpg,test,Mixed Breed,Mixed Breed,0.8203624248156592,1,Alto,Test fuera de muestra
026ebf139,data/raw_petfinder/train_images/026ebf139-1.jpg,test,Mixed Breed,,0.6379690112100509,1,Alto,Test fuera de muestra
1a9733afb,data/raw_petfinder/train_images/1a9733afb-1.jpg,train,Shih Tzu,,0.305216976128946,0,Bajo,OOF desarrollo
1a54d4e92,data/raw_petfinder/train_images/1a54d4e92-1.jpg,train,Terrier,Terrier,0.6328881996642213,1,Alto,OOF desarrollo
