PetID,conjunto_petfinder
2418f7929,train
0e4049f6d,test
daf1a8d08,valid
1ba69dec6,test
cfe285c5f,train
92caf1d01,train
37bf6da18,train
24d9b76ae,test
c0ca6dd73,train
6f72c46b5,train
c8fc0d746,train
7b8924342,test
b8bf2c090,train
44bba906d,train
7d1d7a4f6,test
fbaec0999,train
43b277272,train
36cc00cf3,train
4bff9728d,train
77fa5cdd7,train
a76983523,test
c60e6aff7,valid
3304185a1,test
d7dc2efde,train
59b224cc9,test
32ef0472e,valid
4f7aa1d3c,train
8b63e1b21,train
7395053bc,train
88030e16e,train
694caa813,test
4eb61ccb3,valid
99558286a,valid
7f8955f6a,train
9397426ea,train
cb9cffdff,valid
11960b9ed,valid
9dd9f107d,train
58fe1756c,train
ebbf04d10,valid
30dbb2e50,train
3536e1efd,train
de993d8ad,train
d8c1859cb,test
9ef475fbe,train
7ca780c35,train
c039154f9,valid
4be73c550,train
4683d863b,train
ff05d4438,train
79b514f79,train
4e7a22c99,train
8c36b62a9,train
6d59be88d,valid
181fb7dae,test
1aef9fc86,train
b386bb45c,test
b7fa5b815,train
070faf086,train
36a216956,test
ae524a36a,train
a0ece637e,train
154d24447,train
9e0b14cf6,valid
80fcac43d,train
a2b42f2e5,train
0baab7556,train
e825b8b9f,valid
14357e2ed,train
056437112,test
abc69ab7f,train
dd5797b7f,train
59d4947b6,test
28c005011,train
dc0ee2c73,valid
124f45c2b,test
bcf13ec9d,test
2d33077f2,train
842528c2a,valid
96a1bce27,test
d2dd62cf2,train
53549acd2,valid
f981112a8,train
d83aa1f02,valid
9e27976e9,train
3a67f200f,train
c93c0faa3,train
c9439e71b,train
9725bf4d2,train
a58d8080b,train
796774834,train
db635ae93,train
137916924,test
30e66b835,train
1bd200942,test
ff7ff0f3c,train
64568c4a6,test
caf3220f8,train
2d837689d,valid
cc8bf5e79,train
4a8caef08,train
642a88a93,train
5f2edae7c,train
a22c43e29,test
92c2878db,train
d0b61aedc,test
bd5ac00df,test
2db6c996b,train
f7af4ce3d,test
102482c40,train
7d028bdea,train
c6556750a,train
defc7be05,valid
209e4f717,valid
303ecdb58,train
4c1a9d86f,valid
8c17f26c4,test
7ddc32b12,valid
3e4f81782,valid
f2755d8bf,train
cad137e83,train
0e8c2a1aa,train
b8d244dd5,train
4e00cd0ac,test
8563bddec,test
f3b4e3f5c,valid
ca144ac2a,train
b612d6ba3,train
c517992c8,valid
661bcb904,test
d6e342121,valid
e4253889f,test
4e01721aa,test
b90e6ec69,test
bbff353ce,train
4a0cda147,train
7a54b760e,train
4c5dd1f7c,train
7be394a98,test
87074d17f,train
a578345c4,train
052b0ada8,train
529025eb8,train
3d3aef491,train
c37cd2095,valid
a79fe858d,train
fd279ad95,valid
c1ba2169b,train
d01e08ee2,valid
fc4b199fa,valid
ed6684f3a,test
27bf3ae34,train
cec359a78,train
ebcdfedd2,train
7f4fb6f7e,valid
6c5f1f0a3,valid
d4c9eaede,test
bd30ea4fa,test
6dac572be,train
fb0180584,train
281e2d7e8,test
bf74b13ab,train
02d6020a9,valid
12f9b8e6c,valid
468cec390,valid
b2a23ac85,train
a92b06d0f,train
7af7d9cb6,valid
99558ec92,train
4d20f6163,test
d6cfa5d4b,train
5e390710c,valid
056cc22d2,train
204a3b926,train
640e18ef0,train
b63d76ef4,train
8435e081c,valid
9c580ca06,test
706c85343,test
73501589f,train
94fa9ff25,train
06bf9e676,train
e25d4dcb1,train
5c810c552,train
54c2d49bb,train
30dd541af,train
3209cdc3c,train
9b980624e,train
6f3e5cbd8,test
4669945ed,train
1b932e373,train
a0f88616c,train
59e24567e,test
50361acf5,train
50e35cd70,train
76288167b,train
f93283e0c,train
6be0a8fcd,test
151d50f53,test
a81084ff0,valid
c712cfd20,train
467614705,train
88ac92eed,train
9fa760b69,train
04e7d89c0,train
93f758039,test
85b57bb1e,test
0bc3f09be,train
0f311b358,train
32148e0fc,train
da8d4a273,valid
deeea2b65,valid
12380b365,train
cc60d07c7,test
3a4178fe9,valid
355743336,train
97db95d21,train
e42dc215d,train
2b5a3c81d,train
6029bf590,valid
78ad8f1a2,train
3089a5bd8,valid
cb5597fb1,train
1a3a45096,train
382e4bddd,valid
944db63df,valid
1d03b6d7c,train
e3a5332ce,train
e5e083218,valid
b75594e30,valid
0bd2d5882,valid
ea319fdec,test
300337abe,train
90a967a14,train
76358e754,test
8dd958339,train
796382bf4,valid
81a176a02,train
67e7da152,valid
d721ed589,train
1a018ef15,train
1bb0600a7,test
e04df6caf,test
62d6817ab,train
faf6a8cd0,train
86d203b94,valid
2e6fc0342,valid
f849d1829,valid
32918fcdf,train
abdeff83f,test
8311f29c4,valid
69c8c9463,train
aefafcc66,train
228d72748,train
e21d09b79,test
833c51fd2,train
38e12233c,train
4d6a996c1,valid
52238d3bf,train
e99c4a55d,train
727a1c793,train
24afd5f54,train
d2d9924f0,train
5419155f2,train
48f5de7e9,train
cad1a9f54,train
952501bdb,valid
798f4a1e4,train
98c17f102,train
4a67bf90d,train
e152df77a,train
26627b528,train
2c15f3086,train
6b820b13d,train
ced0659f2,train
bea0802eb,train
066521b34,train
bd37ccdd5,train
35f8b4bff,train
5b56430cd,test
36ab1bdc9,test
d6ad64584,train
492fe3371,train
4e4ba4429,train
d111847a0,train
ab2bb4a0c,test
9e25c09b2,train
eabef1496,train
ff832cb7e,valid
3de6bc035,train
854319675,test
51df78553,train
fb8efea32,test
40b53f6c2,train
9951b9762,train
19d7de899,train
eb42f77fd,train
ab09748d1,train
98e211da3,train
d4aa3713a,train
c0771fde0,train
009239f92,train
b2056e185,test
4f678d1cf,train
b7d753c5a,test
2e85b81d7,test
400e57095,test
848c1d759,train
6d4bdde4c,train
ebba4f83b,valid
4c1981df1,train
378406cf4,train
c9a00b80f,train
2398599fc,train
27e458086,test
7439df9c4,train
1d777bbcd,valid
6679c179c,train
15a491e20,train
fe3a83fe5,valid
e0dbd7901,train
c93e37265,train
577de26db,train
1076dcc35,train
29bf0cb2c,train
6984c8d7e,train
5980b0699,test
d73b2a4c6,train
dc20a0cea,train
14c6c68e2,train
6593bd2a2,valid
afaadb62f,train
ca39f5e93,train
1ec7dc903,test
a2037a7b0,train
227580301,train
f95b39c6f,valid
ff10041de,train
a7eb03730,train
f1cc9dd25,train
385028a00,valid
8bcb0a0e6,train
bc14f3a48,train
e92ed29c2,train
a655655d4,test
8140d2734,train
0fe58286d,train
c2f9689c2,valid
f47fc05a6,test
62e2e9071,train
1f2c63312,test
00648f96f,train
f70a1bf5d,train
6eb8a8e8e,valid
da5295aaf,train
afec4c35e,train
73066f6ff,test
6af981c61,train
5685ae208,train
f60ee7233,train
f67dcb4b3,train
140ef35de,train
7f7e9db52,train
28ec2de89,train
d50b449f0,train
5d2f7761c,train
cf795bb00,train
896bb46bd,train
f6c91bc20,train
c0bc43dd6,train
85094deda,train
edef78673,train
95a89f5f2,train
61dc8345a,train
bde802b84,valid
125522846,test
4a1702099,test
29aa0b74b,train
eea15297e,train
b421d0d48,train
e1f08c5b2,train
611970ebc,train
e25112cac,train
29466dcf4,test
5bc5b43ae,train
6348b55cb,train
71f245b82,train
245434d5d,train
c70a3fcc5,valid
dbc39e84b,test
f0057428e,train
3afe6f1fc,test
70be9c861,train
2931d3eac,test
f77452d59,train
2f72b9f33,test
a662626a6,train
e21ecf520,valid
077001793,train
689e4e3bf,train
310ea711c,train
1f949d065,valid
1dcb1fe2f,train
9b251f717,train
c49629a90,valid
bda912e4e,train
ee5ceb065,train
2430b50b4,test
b03c17502,train
a710da2ab,train
a1d8d917c,valid
55e32b4b7,train
27a8bdbf8,train
f0ee32b27,train
591f1d67c,train
b1e590596,valid
66f6cd1cb,train
c54b26d73,test
7ed1216f9,train
ea303d329,train
0c2e0fc7d,train
a8b9d57b4,valid
4ea7c5d48,train
70aa95825,valid
f024e91b9,train
c842fa148,train
25f6db0fd,train
c23b2926e,train
76a063a20,train
6a8d98847,train
a5bed2b62,test
8167f58bb,valid
04e829d49,train
86f7b4013,train
2de32b48a,train
cd5a7effb,train
a2a899dab,train
2fcdfb0e1,valid
ea433c341,valid
5a7207717,train
fc8220250,train
1ca9db40b,train
7f51a7e88,valid
b593502c5,train
9f02a1c14,train
c4e0d125b,train
ea7ec0562,train
eb900ff8a,test
cf51903db,train
37438ea50,test
21b90ff68,train
b7d23de06,train
2ee5073bc,train
86f40e2b4,valid
924cc5438,train
6f3e4618d,train
467aed7e3,valid
733f9942b,train
0a9f9f178,train
283424d80,train
8fa2d16db,train
6ea58b8ac,test
bedd7f1e7,test
b551658f4,test
b2c120250,valid
451bf38f1,test
e61aceb9e,valid
12d48709c,train
f680cd37a,train
f4f5588c6,valid
9af15c8f1,train
b7da4e981,train
19caeb6b5,train
c919eb44b,train
60f317698,train
04a6267e4,train
060b52c3b,train
d919bd302,test
96ba0193d,train
e2b5913e7,train
e19ee42ce,train
86c412966,train
a4385e043,train
e58eb3249,train
dfff88c90,test
3625dd7cf,train
dcf2641f2,train
e910d17de,test
e1c40a1eb,train
c8779a4a1,test
c90558513,valid
6da65afb8,valid
b4475834d,train
204ca9f14,train
6bf7eec1e,train
54224dada,train
818cf6f02,train
35b51bb28,train
72acdecb7,train
c05a9c0c8,train
0ce80622f,train
9668972cc,train
8e372fc09,train
8ff66c239,train
19bdaed52,train
3e373923e,train
f376f922e,train
b8dd18a5a,train
da8859f46,train
5f2623cb9,valid
92bf4bb1a,train
f77a10b5f,train
8a99dadaf,train
bee25f46d,train
30ca259ed,test
dcefbb974,test
51d3a70bf,test
5e08b9ce5,train
c924a03e8,train
3595648ea,train
1667eb8a4,test
dcdefed1a,train
760c7d8ac,train
48333a921,test
f068b8fdd,test
24993107f,test
7e29d5a9d,valid
12e747332,train
ea1736eec,valid
1555b08c9,test
7e681c7eb,test
deda21b9a,train
81d38d5ec,train
f6ae0d580,valid
1bd13d3e5,test
44817c8f4,test
41bc94422,test
af86d93ba,test
24ee3b57d,train
d1a67cee6,train
943bcd4db,test
352522dbd,train
2e4eb9198,valid
0e4ef28c9,test
c06b6d8bf,test
d3411347b,test
cfd819dd9,train
1a2f33fec,train
44c8447f9,train
1a3da2ae5,test
1c2f669f2,train
52e6abd35,test
cc463360a,train
2469e58fd,valid
42444811d,train
fc9773fa5,train
89fd79488,train
988f48ca6,train
bcd6d7e62,train
b12b6dc93,train
ba6ea2d18,test
31da37bc0,train
9fce612cf,train
2b31f1be3,train
49c8a0216,train
662af5b80,train
a3d4585c2,train
7ba2a5c50,test
26fdc2915,train
ae0076e01,train
919768bb5,train
6b685abae,train
49360414f,train
ca3312b77,train
859426703,test
a428c4daf,train
5c4742e35,test
e064d3504,test
99eb49749,test
50e061767,train
797bcabfd,test
f653550ac,train
241b90aaa,test
b0b33bec3,test
c68f66799,train
00c71a320,train
1238ed024,valid
ee7c25387,train
8c5bf2766,test
11b9089f7,train
4cfee2fbe,train
9b95ec85b,valid
9ef11ed6e,train
5fcb3804f,train
d67c5c6cf,train
68f3cfdcb,valid
02cd64831,valid
37ed9080d,train
7a9ca7419,train
022b37ea0,train
edf80e3cc,train
9012ebabb,train
45c2eb379,train
b94ddd6a9,train
69e10dd04,train
123f15578,train
1a952e440,train
fd2cc8576,train
92189aa31,train
b3185d954,valid
ae0bc846b,train
3d7275647,train
3cfec8730,train
9c3f9ca37,train
143760a33,train
e42fd0fed,train
7c37095b6,train
66b978701,train
6627a8ab8,train
62887c0ea,train
e3d10f7cc,train
074042a24,valid
5bc5e3faa,train
89a396d79,train
91f5bb21f,train
6c3222742,train
199f37bc2,valid
adff46aad,train
6ea2ddaf2,train
b53990a1d,train
31893804f,train
c36943627,train
df7aa79a4,valid
c226ecabd,train
37bbc6060,valid
144ad89a5,train
9c91ae76a,train
a427984f4,train
48f20f515,valid
a7fd7a703,valid
d2b59ecaa,valid
c8f5f9120,train
515d9508a,train
a7a28b4f4,train
9aa2d99f5,train
86bf33207,test
5902c3051,train
3a7d3c17e,train
a8da358d1,valid
829ea64cc,train
54b0c0564,train
6f28d2ab3,test
29e6c171d,train
2db964259,train
c98188040,valid
bca8b44ae,train
e76b8eeb2,train
183c947eb,train
7f5e7cf4a,test
0e0d0a9af,train
6cb63297c,train
229beedff,train
70335663e,valid
b617ce1ce,test
4d75e5771,test
36b57b1ee,train
ef86c51b2,train
5b539effd,train
b3f69b209,train
a1fb1b5bb,valid
90caf70eb,train
c219bf074,train
5dace0494,train
58ef3eec9,test
919a7dd34,train
80034deb8,test
6dac8ec35,test
69f9ebfbc,train
41b98eea2,test
91e1bffc5,train
bb1775dbe,train
858854bb5,valid
cf6995fef,train
0d440b00e,valid
d1878035a,train
b86b0db65,test
7448f3165,train
948f580dd,train
05bde54cc,train
7e48ad81b,valid
a79983c71,train
4a9d058f6,test
de41ebc79,train
a8e5ae23a,valid
ada44e887,train
8378c8af1,train
71e5aca0a,train
a124a31ee,train
1e115d8ff,train
5f235ec16,train
554965e66,train
f33f3512e,train
2b38b60d2,train
fff4a6420,valid
f5170bc70,valid
c32eb7405,test
ce50f376f,train
09e9110e2,test
42fc9a244,valid
21ae91701,train
fbb3db415,train
d6e372a1d,train
cbdeed3f9,train
df8425410,train
ec53a8725,train
24d3b54ec,test
dd2452dfa,test
9223ae4c4,train
b5ff2b987,train
bdbe9a6e3,train
4f6c8d13e,train
c135e081f,train
1dff1959b,train
d1da78c20,train
35fdb89c9,train
7d6847fba,train
5a5ec1a49,train
483f1aae8,valid
2ff9e9534,test
896e733b5,train
28d20bc71,train
784d3319e,test
89dd8e9e9,train
2b980afbc,valid
f1b5c8b92,test
ab385bfae,test
04f7eafde,train
8fc22fd2c,test
fe83618e5,train
27e6b452b,valid
53ac79c6c,test
11b20ee8f,train
8a7fcc8cd,train
6868acfce,train
339a623c4,test
0073c33d0,train
3f222f11f,test
34fcc459a,valid
9d3d3b938,valid
e4deffd71,train
59d95faef,train
4b2150d3a,train
20ba919c6,test
79075eca4,train
3101ea018,train
412b8d565,train
db33da35e,train
b25ad3ff0,train
63dad490d,test
f44a6cdaf,train
5601bd45c,valid
7964fc4ad,valid
6c196faec,valid
8054aad26,train
a111adc75,train
6831a72fd,train
67d853896,train
b3b6d78f5,test
1bf044649,train
35cc85250,test
2959602fc,train
f0b2787f5,train
bec49d8b7,test
fd9a060d7,test
96703e01d,train
1123cd69d,train
bf5c5cded,test
ecad98f44,valid
6c551fd9b,test
5bee46079,train
2dd31e8ff,train
5b72e14bf,test
869a1634e,valid
f61c4cead,train
fe5dc391c,valid
c1816081f,train
7d73574ed,train
7c787403c,train
484af2d62,train
a2b2f53be,train
a6e37f91b,train
b02fcb74b,train
b84ad40b4,train
c4ea89ddb,train
11a3055b7,train
50eddd1bb,test
5be134946,test
11c222a3c,valid
b630ac493,train
8693c4e7f,train
828ac8371,train
8d862cd26,test
de9e02d44,train
7169c3e3a,train
069fc79d6,train
7ca7983b5,valid
064217ca4,test
1ae9a98d3,train
27226ea0c,train
bc4bbcef1,train
1bbf00182,train
15937e540,train
965adb809,train
e1cd37f6c,train
9ecb47019,train
2e55bed12,valid
23941ded4,train
217fcf5f1,test
79d5a2615,test
79bf5eb37,valid
53895ad35,train
abf0f2579,test
5e0519e3d,train
3d63dfd14,train
a63a0ac25,train
7ecd54695,train
b2b52ccf2,valid
520dc7925,valid
266aee5b3,train
e95bb9197,train
ff7d25ffb,valid
8aeda3d62,test
c7e61f3c2,test
172c8129a,test
68b7c23f3,train
34fe22f69,test
a362ad62e,train
ca46b14de,train
14a9958e0,train
ec4089e58,test
9e2039291,train
ec182ebc4,train
605ca1a51,valid
c3eefdcd8,train
83defd365,test
6561001c8,train
dd79180bc,train
7aa682539,train
f45beac10,train
1c28dc555,train
f49099d52,train
14831f659,train
2edeb7931,train
69a1c3147,train
3560a3e97,train
4eba3b5c0,train
ef7555da8,train
8063090ec,test
2ac1366f4,valid
32eb3673a,train
292447561,train
b28951b61,test
d50a1665e,test
a43d578dd,train
6d815d3ef,train
fc48054c2,train
533916bd6,test
5d168f0e6,train
0bc671d5e,train
27e16a68d,train
b119aa181,train
32f97388e,test
04b5f77c0,valid
c68936b74,test
a7e623e5a,train
d3b4f29f8,test
f94c2a347,train
0c862b8a3,valid
0a0ec4977,train
0cdb80095,test
dcd7102d9,train
d302ad015,train
1b3492bde,test
e481cf862,test
7fab3c124,train
fe854f6a1,valid
82dd5838f,train
8102d6dc7,train
46f656f13,valid
daeac2b84,test
e0781fb0a,train
d2cd71ec2,train
5b0355a1b,train
c77a68714,test
1d72ec242,test
119903786,train
f5d514b10,train
659dc9159,train
fc8388b28,train
988c18c10,train
4d82fddba,train
d25a850ae,train
172d395a5,valid
dfcbce94d,test
460edc419,valid
d79342c8d,train
d5e351a09,train
a2ac8316b,train
c53fb8a18,train
7a84326ff,test
b12fb6709,test
619f26bfc,valid
f06cf606d,train
a92c2f233,test
a29c12bef,valid
cae004390,valid
26901ccb0,train
4715f897c,train
282678629,valid
2683c99f1,train
f94ea9d92,train
a58fef87c,test
50723f2c3,test
1fbf04fab,train
ef1d7c2a1,train
df1507e61,train
58396d68b,train
c69bdf768,test
902114441,train
ab8dfa983,valid
d7185ffc1,train
4b949e5c7,train
041dd606f,train
933b2b3d4,train
4f4028c04,train
733ccdc63,valid
5a567392e,train
5347d6835,valid
0cb52145c,train
3d1d0f102,test
e6d59d514,train
2d9bdbca9,train
2ad939a78,train
7e3680561,train
6003cc8cf,train
e92713811,train
079565e72,train
4745e5286,train
80f1863b8,train
59b66be84,valid
bb675d874,train
4f402845d,test
89788a8fd,train
0058586f1,train
f53c216e2,valid
4175a27e1,train
fa41fb473,train
ca7a148c0,train
a14caa3ea,train
966598774,valid
3e5627478,train
afb230f5a,test
8660ad37b,valid
9a32cab94,train
fded1ee28,test
a0fb6cd44,test
9c64232b3,train
f68a56b90,train
08f54d056,train
17a5487d2,train
19745f3dc,train
afdc5f01d,train
64f41ee68,test
403aa5c4b,train
ef4dce041,train
5cbe99be7,train
6f07e7abf,test
be16b20d6,valid
9b56301b6,train
ec13e5f25,train
f6beefaeb,test
bd59fdd99,train
17ac391be,train
ae4ebeb3e,train
c3208c19d,train
1758efd47,train
8f26b1b5c,train
982564925,train
45c718348,train
8d51c3200,train
86386b0c0,train
b9568ee6f,train
94918fff6,train
a55f8d58a,train
816005a03,train
ab22c3350,train
cac68ead1,train
9d72113d5,test
7cf995ca4,train
ce344f70e,train
4525391a7,test
bcf546cb8,train
b5c553616,train
6c3d7237b,train
196f95fdb,valid
a528683b3,test
664d0bed8,train
e315452b5,train
83dff4077,train
6d6bb4a66,valid
805dcae38,test
5264f98c4,train
c76384236,test
b9aead110,test
b147d1870,train
2a19120e7,test
951352bea,test
93685a66f,valid
a1188fdb7,train
8d7c78428,train
4194f0f66,valid
94d930dae,train
85fd5df90,train
4c9e42452,valid
53abbdf1d,train
d37de633e,train
a5f08e991,train
92f84c5b7,train
48bfc494a,test
5b64325b9,train
87c19915b,train
f21d7ec45,test
92fae4396,train
0e6c32c9f,train
948a1a82c,valid
db044e38b,train
df0b49ce7,train
683f1dfd8,test
6ab29b3d4,train
67ab87b4a,test
c37bb10fd,test
8d876343e,train
1b154dffa,test
91add3784,test
0940ecf2b,train
f8e3fabe6,test
48769873a,train
acb614bba,valid
c6e763332,train
031a01c36,train
eb3b2ad1f,valid
0f4291ce6,test
fff6f2f61,test
e98593be6,train
0e4cf50f4,test
0ac6fe826,valid
576dcc546,train
b2385d700,train
a47931d69,valid
ebeebeee4,test
e472219f1,train
b00d0fe1c,train
4e9a13862,train
1a0ee9580,train
277014d80,train
65daac431,train
b6256e92e,test
10ae2697f,train
d49ea4e84,train
fe5d572be,train
15bcbb6e2,test
fcf5f5a0d,train
baefc2985,valid
ea383096f,test
0f9d7b0f9,train
95696f11b,valid
05febeea3,valid
34482d66a,train
fadae6510,train
724736153,train
6dc2f0739,valid
b4d6d190d,train
47453584e,test
756d92515,valid
112ae92e0,test
52a88696e,valid
fed43b600,train
411792ceb,train
0164a9cfb,train
245bfe92f,train
76f668025,train
448770499,train
c5d1b9bf9,valid
d30dcea91,train
6984b9727,train
682ed2e7b,train
a952a211e,valid
0d85af6c4,train
1a8503d2f,train
6344c2cde,train
440676acb,train
5ea10e37f,train
02468e968,train
f3367a65d,train
8cf927527,train
94ec1c180,test
505c5d7c6,train
5dd3f3eb0,train
68d430cbd,train
cfd87918e,train
4f18ce587,train
9003318e5,valid
c8049d235,train
01231c438,train
bc7956085,train
7575371db,valid
84fbd99d9,train
acf9a72ca,train
cef342d22,test
488cefe35,train
d3c79cf76,train
a5f6e77bf,test
b0d4b988a,valid
f27915d51,test
69daafdd4,test
50fe7d515,train
ac52ba660,train
71f895aa2,valid
be07596c5,train
4f8a564a2,train
77f9b1470,train
685010499,train
8813e5e4d,test
790a68c0c,test
cad8537e1,train
a06a2ee4e,train
3525855b3,train
6a8f9aa52,train
00709d75b,train
d62c55d90,valid
95c01e235,train
015770429,train
13296aae7,train
2a92877f7,train
7ac66a1c2,train
25fc96414,train
09b5921e9,train
58e24d608,train
3c0450f2f,train
80fd005d2,train
ecb3e47a6,train
3c97d1670,valid
89bac4c29,valid
