PetID,sentiment_score,sentiment_magnitude,sentiment_language,n_sentences_sentiment,n_entities_sentiment
51366110e,0.3,1.2,en,3,4
f3abe5d8c,0.7,0.7,en,1,12
bea0802eb,0.3,2.9,en,7,24
00af25fc0,0.4,4.6,en,9,26
941880ea3,0.0,0.0,en,1,1
f5dc70d35,0.1,0.1,en,1,0
d13d93f69,0.0,1.5,en,6,19
161718095,0.9,3.6,en,4,11
ba7d1a755,0.6,3.2,en,5,3
87fa5c42b,0.0,1.5,en,3,8
4bce78644,0.1,1.8,en,7,11
1e83794bd,0.3,1.1,en,3,9
e9c78e9fb,0.1,0.4,en,3,4
072ae6d9e,0.2,2.2,en,4,10
c93c0faa3,0.2,1.1,en,5,11
437b01de4,0.5,2.9,en,5,23
67db5accd,0.6,4.2,en,6,9
f45457bdc,0.0,6.0,en,23,41
97db95d21,0.2,0.2,en,1,2
1ae9a98d3,0.5,1.1,en,2,3
4f7a70728,0.4,1.0,en,2,3
bedd7f1e7,0.3,2.8,en,7,9
9eb6e75e2,0.4,0.9,en,2,4
eaf13651e,0.9,0.9,en,1,2
1a2c91362,0.4,6.2,en,9,17
9a3c966a9,0.2,3.1,en,5,9
72c38b9ab,0.2,1.3,en,5,11
474bccd75,0.8,1.6,en,2,4
2c8ae4c7e,0.0,2.1,en,7,17
146f076cf,0.3,1.1,en,3,8
9ef11ed6e,-0.3,1.2,en,4,15
de43c6ce5,0.0,1.3,en,6,12
5ac95823c,0.2,2.6,en,8,14
b586e1ea4,0.5,4.7,en,9,14
fb2dc3fb7,0.1,0.7,en,2,4
e827bee5e,0.0,0.2,en,2,4
49006b8c3,0.2,1.6,en,6,11
99dcd9020,0.0,0.0,en,1,1
1398adca0,0.2,0.7,en,3,17
78b07d4e0,-0.5,0.5,en,1,4
0392c0c81,0.0,0.4,en,4,11
dc996a1a4,0.3,1.9,en,4,9
f56c9eb67,0.9,2.7,en,3,5
fe879c04e,0.2,1.4,en,3,5
366a03818,0.3,2.3,en,4,8
355e8bc38,0.0,0.0,en,1,1
15e5b6d26,0.0,1.0,en,6,19
e7b44276b,0.0,0.0,en,1,1
affeb8b58,0.8,0.8,en,1,1
48cb3c66a,0.1,0.1,en,1,2
caa16cc3c,0.3,3.9,en,11,25
b630ac493,0.2,3.6,en,10,13
8f0468771,0.0,1.4,en,3,7
d1a9104a1,-0.1,1.4,en,5,13
c5574bf3d,0.4,2.3,en,4,5
9ed8dd7a7,0.4,1.8,en,3,8
175af62c1,0.1,1.5,en,6,11
dfcd19237,0.3,0.3,en,1,2
10836809d,0.2,2.3,en,4,19
d4b2dcfb6,0.0,2.1,en,6,13
c7cb34ee2,0.8,1.7,en,2,3
9b95ec85b,0.0,2.9,en,6,13
3695274de,0.9,0.9,en,1,6
87b715441,0.2,2.6,en,6,6
d73b2a4c6,0.0,13.0,en,31,117
bd9e9d9e2,0.0,0.0,en,1,1
9deed930d,0.2,1.7,en,6,6
5fed61438,0.3,2.2,en,7,11
d67c5c6cf,0.6,3.5,en,5,5
f056ab9fc,0.2,1.0,en,4,11
ca39efaf2,0.1,2.4,en,7,11
79531026f,0.0,0.5,en,5,5
80255c391,0.4,1.2,en,3,6
f53c216e2,0.0,0.3,en,4,21
2c281057a,0.1,3.3,en,8,18
a77b63ee1,0.0,0.0,en,1,1
c2aeb6a1f,0.1,8.6,en,21,72
92e87765e,0.7,1.4,en,2,11
9ba11975b,0.3,3.2,en,7,16
0940ecf2b,0.3,1.1,zh,3,5
49a867af7,0.0,1.0,en,4,7
cea6df421,-0.1,1.6,en,5,11
797bcabfd,0.0,2.5,en,7,13
ad111a12a,0.3,1.1,en,2,5
a662f1d7e,0.7,1.5,en,2,2
5f20dde82,0.8,2.6,en,3,15
079f5f1e4,0.1,0.3,en,2,4
887b5144a,0.5,0.5,en,1,5
b854220cb,0.0,3.0,en,5,8
11f773e2f,0.0,0.0,en,1,1
ecf521843,0.2,3.3,en,9,16
39ec77c60,0.6,4.7,en,6,13
2fbf2cb7c,0.6,4.7,en,7,10
a1be4d855,0.4,4.8,en,8,11
ea062393d,0.2,1.7,en,5,8
7b5bee232,0.0,2.0,en,5,14
481cbcedb,0.2,4.6,en,8,24
a2c44e0b3,0.4,1.3,en,3,4
48d1e6446,0.3,3.2,en,8,36
f9d621157,0.6,5.9,en,9,24
e4deffd71,-0.6,1.3,en,2,7
55e32b4b7,0.0,1.3,en,6,7
f0c26af32,0.6,2.6,en,4,4
6178884d1,0.4,0.9,en,2,5
8bd033254,0.1,1.1,en,4,8
c301eddcb,0.0,0.2,en,3,7
8f32c880e,0.4,0.9,en,2,3
e754315db,0.9,0.9,en,1,0
519bc8382,0.4,5.8,en,10,15
aaf465c30,-0.2,1.6,en,5,12
6d9b202c9,0.0,0.8,en,4,10
32d8fa52b,0.5,3.7,en,6,12
596d784b2,0.4,2.8,en,5,13
aaedd873d,0.4,2.9,en,6,6
c5d0fdfac,0.7,1.4,en,2,2
4574e3de4,0.9,0.9,en,1,0
5a828ec3e,0.0,0.0,en,1,11
094c2c3bf,0.5,1.7,en,3,15
e1e2b0af4,0.3,3.1,en,7,27
cad8537e1,0.3,1.0,en,2,7
2b34c70e7,0.5,0.5,en,1,1
f52510492,0.4,2.4,en,5,7
788e8757d,0.8,0.8,en,1,3
93cdb10e6,0.0,1.8,en,4,7
9ba7b7b9c,0.8,0.8,en,1,6
6b10d4880,0.1,1.6,en,5,4
b6c93a605,0.6,0.6,en,1,1
07914c759,0.0,1.4,en,5,5
c737c30d7,0.4,3.9,en,7,22
184a51562,0.0,2.4,en,5,13
903523a17,0.3,1.4,en,4,9
dcefbb974,-0.1,0.4,en,3,7
fb442ee5e,0.3,1.8,en,4,11
fc02869d9,0.1,0.7,en,4,9
beea1e1dd,0.5,1.0,en,2,3
fbba51f97,0.3,1.5,en,4,9
b5b9c3c05,0.0,0.0,en,1,8
0c5fe8151,0.2,2.4,en,5,18
ad5250ecf,0.0,0.2,en,3,7
841bcd63f,0.0,0.0,en,1,7
c219bf074,0.1,0.4,en,3,1
46b2782d5,0.0,0.4,en,3,3
90489eccb,0.3,1.9,en,6,7
f068b8fdd,0.9,0.9,en,1,3
cc515ec8c,0.5,4.8,en,8,18
5390fc59f,0.0,0.0,en,1,16
09e9110e2,0.0,0.0,en,1,5
bee25f46d,0.2,2.0,en,6,4
6a54a03db,0.6,4.5,en,7,18
9ae0545c1,0.6,2.6,en,4,5
e8fdeb33e,0.5,2.0,en,4,9
c6f39e0e4,0.6,3.3,en,5,7
474294e01,0.1,2.1,en,10,20
cad1a9f54,0.2,5.9,en,14,26
6c06b0725,0.5,2.3,en,4,16
656246ceb,-0.1,0.3,en,2,5
8f6b92b4d,0.4,0.8,en,2,4
acca0b2ed,0.6,3.7,en,6,9
2bf2c6260,0.1,0.7,en,4,10
6f43738b5,0.4,0.4,en,1,2
b912b1114,0.1,13.8,en,34,100
4d1d8655a,0.5,2.8,en,5,10
b04a0dd9e,-0.1,1.0,en,6,7
7abf263f7,0.4,1.2,en,3,5
7115607a0,0.7,3.6,en,5,15
171113c99,0.5,8.0,en,12,32
087ee8e83,0.2,3.0,en,7,10
1652a3e1e,0.2,0.6,en,3,3
ee4cb45ea,0.0,0.0,en,1,3
d55faa0ff,0.0,1.6,en,5,19
d33f898e4,0.3,0.8,en,2,6
0a266921d,0.1,2.5,en,9,18
c12ae3214,0.0,2.6,en,7,20
48cd2ebaa,0.2,5.1,en,10,20
9ecb47019,0.5,3.0,en,5,8
a2cd25e49,0.0,0.0,en,1,1
cfa67dca2,-0.2,3.5,en,7,24
be7ff8075,0.1,0.4,en,2,6
7d1d7a4f6,0.3,2.2,en,7,15
93b91a46a,0.7,0.7,en,1,2
bc0b9984a,0.2,0.2,en,1,2
aa32ec730,0.1,3.1,en,11,24
329814145,0.5,2.3,en,4,4
af8cd40e0,0.1,5.1,en,16,24
427acc248,0.0,5.6,en,12,47
2bbe22924,0.2,1.3,en,2,7
214dbc1f4,0.7,2.8,en,4,6
a892f5fd3,0.3,0.9,en,3,4
37e47eeab,0.2,2.5,en,10,15
50f87522f,0.3,9.1,en,17,45
4036e0e12,0.5,3.7,en,7,15
1e87e4110,0.3,1.8,en,5,3
35b51bb28,0.3,0.8,en,2,9
a5f027ab8,-0.1,1.9,en,6,9
5c1890dc7,0.3,1.0,en,3,3
610c05772,0.2,3.1,en,8,19
1fc6f94cc,0.3,0.3,en,1,2
ecba82fc3,0.2,6.8,zh-Hant,16,33
4acf3e30e,0.2,2.2,en,3,6
ef0fde5be,0.5,0.5,en,1,2
920a30b27,0.1,1.5,en,6,10
af6364af9,0.3,2.5,en,8,16
b64e30a78,0.0,0.5,en,4,14
6d98621a6,0.1,1.8,en,5,6
2f3d368d3,0.3,2.6,en,4,9
97094f7ec,0.6,1.9,en,3,9
9e3239219,0.3,2.8,en,8,8
39b3fe88f,0.0,0.0,en,1,2
50d2b5839,0.3,6.1,en,13,15
c02be41e6,0.1,3.4,zh-Hant,10,22
fbb112b7e,0.8,1.6,en,2,5
1bde9cc3f,0.4,1.2,en,3,5
50262523c,0.2,1.3,en,4,8
31d921827,0.2,2.2,en,5,9
1d4adbcc2,0.8,1.7,en,2,3
4ea111bbe,0.2,5.9,en,16,35
d16c37008,0.1,0.1,en,1,2
9d66ac1e7,0.4,4.1,en,8,11
d2c9dd7d1,0.1,1.4,en,4,8
326b17344,0.1,3.2,en,7,19
bd881326e,0.3,2.7,en,7,13
8d7a8a5c0,0.2,2.2,en,6,16
1667eb8a4,0.4,1.3,en,3,7
3f5405630,0.0,0.2,en,3,7
546957a8b,0.2,2.5,en,8,9
0adca3f66,0.1,1.0,en,6,13
0cb52145c,0.8,0.8,en,1,3
ece3629b4,0.9,0.9,en,1,0
c5baf5497,0.1,1.8,en,7,18
3101ea018,0.4,2.7,en,6,14
da840f8d4,0.0,0.3,en,3,6
f19658d12,0.3,1.8,en,5,11
659dc9159,0.3,2.3,en,3,6
11ac3640c,0.4,4.4,en,9,17
0fc52b599,0.7,1.4,en,2,1
4b949e5c7,0.4,0.9,en,2,3
53fba6573,0.2,5.4,en,15,22
107d56dc4,0.1,1.3,en,4,7
53c0ebe89,0.2,1.3,en,4,7
f220ae6cd,0.2,1.3,en,5,16
d5e351a09,0.0,2.9,en,12,28
c234e165f,0.3,2.7,en,6,14
0cf709a59,0.5,0.5,en,1,3
2f43fb067,0.3,1.1,en,3,5
5dace0494,0.3,2.3,en,5,18
e40368c38,0.4,0.8,en,2,6
89bac4c29,0.0,0.1,en,2,3
01c6d3224,0.1,0.2,en,2,5
49a832741,0.1,0.1,en,1,0
b93a2c373,0.3,0.7,en,2,4
8ef541435,0.3,1.4,en,4,20
1da3eb996,0.5,1.0,en,2,3
409ccc60e,0.7,2.3,en,3,8
7d6d03de2,0.1,1.4,en,5,7
24bbd04ce,0.4,5.0,en,9,20
4fe9ef7ce,0.5,2.7,en,4,5
f6e07783c,0.8,0.8,en,1,1
db095d92a,0.6,1.8,en,3,6
c0503dd75,0.1,3.1,en,10,37
d30b90a39,0.3,1.9,en,3,8
6bf6880bd,0.5,0.5,en,1,1
3584bf68a,-0.2,0.2,en,1,2
cf76c794a,0.7,2.3,en,3,6
fe4bb01a6,-0.2,0.9,en,4,10
9fce612cf,0.2,5.9,en,13,17
816005a03,0.0,1.5,en,3,6
1bf4a2ca7,0.6,1.8,en,3,4
26e02fdeb,0.5,3.5,en,6,12
62bf4037c,0.5,1.6,en,3,6
315d0e254,0.1,2.4,en,5,16
f3a5451b9,0.3,4.4,en,8,8
8717133d3,0.7,4.6,en,6,15
8a302ccba,0.2,5.4,en,11,23
94bcf0199,0.3,1.5,en,4,10
181fb7dae,0.2,0.8,en,3,11
cb7bfedd5,0.0,1.6,en,3,10
f44a6cdaf,0.1,0.7,en,5,8
cc628c147,0.6,3.7,en,6,15
b780980c1,0.0,10.2,en,33,50
5f6931436,0.4,1.2,en,3,5
e625fc4f4,0.4,1.9,en,4,10
7977491da,0.3,3.9,en,9,13
c4277da90,-0.2,1.3,en,5,15
1f983f20b,0.5,2.8,en,5,8
91f52526f,-0.1,1.3,en,3,17
bef897b2b,0.1,2.1,en,6,6
4f6c8d13e,0.1,1.7,en,7,28
56f62a309,0.3,7.8,en,15,36
e53933782,0.1,8.9,en,17,31
3af2b1473,0.4,2.7,en,6,12
faec94482,0.3,6.3,en,14,26
59e24567e,0.6,2.5,en,4,12
ac4c28677,-0.3,2.9,en,9,19
011350faf,0.3,0.7,en,2,6
815f4cc08,0.7,1.5,en,2,4
538b47698,0.3,1.3,en,3,4
9a3224461,0.2,2.5,en,8,27
9d72113d5,0.0,1.9,en,3,8
1b154dffa,0.0,0.1,en,2,5
87f4ea65f,0.2,0.5,en,2,1
f6ad159f1,0.1,0.8,en,4,13
4f279d30c,0.7,1.4,en,2,25
f53e55959,0.3,2.7,en,6,13
20ba919c6,0.7,2.3,en,3,9
f8bf52aea,0.2,1.4,en,5,5
7ba2a5c50,0.9,1.8,en,2,6
9fb89d88f,0.1,0.7,en,4,9
5f0efae69,0.0,4.0,en,10,25
6d1596957,-0.1,0.6,en,2,8
d4d84523a,0.1,3.3,en,14,23
da5295aaf,0.5,1.1,en,2,8
3e5627478,0.1,0.1,en,1,1
4cc05c35d,0.3,2.2,en,6,9
e65375c05,0.0,4.0,en,13,22
1f9b856e0,0.0,2.1,en,7,17
8111f6d4a,0.3,0.7,en,2,1
054f35a8c,-0.2,1.3,en,4,12
81efac010,0.3,1.8,en,6,7
4aa9a342e,0.1,0.3,en,3,6
799aad68b,0.3,1.8,en,5,11
a24a102b1,0.5,2.8,en,5,6
9976d9007,0.3,1.3,en,3,8
a4c903a3d,0.1,0.1,en,1,1
a64d70c84,0.9,1.9,en,2,1
8aeda3d62,0.3,7.8,en,17,23
44cd12263,0.2,2.1,en,4,9
64f563069,0.3,0.7,en,2,7
447be811f,0.5,2.8,en,5,15
121ee5fa0,0.5,3.6,en,6,15
d9b4b1930,0.4,0.8,en,2,9
32bc0b4fa,0.6,1.8,en,3,10
e48598033,0.5,2.5,en,4,5
39818f12c,0.2,2.1,en,5,12
a5acfe9ed,0.3,9.1,en,21,52
172c8129a,0.3,5.5,en,10,26
597ff6946,0.3,3.6,en,6,11
c7c443855,0.0,3.1,en,11,14
e2f5253f7,-0.1,2.3,en,5,30
460edc419,0.4,1.8,en,3,8
a4e4b1640,0.8,1.6,en,2,3
ed10d7ee5,0.1,0.1,en,1,1
a972fe14a,0.2,2.8,en,6,17
e0e241d57,0.1,4.5,en,13,44
d30068375,0.0,1.1,en,8,13
9252b5dc8,0.0,0.9,en,3,11
8b8c51377,0.5,1.1,en,2,3
8b6690d89,0.0,4.7,en,14,23
48c5a3c40,0.5,2.8,en,5,11
119f813b2,0.1,0.1,en,1,1
24c1d5a33,0.2,3.5,en,9,22
7f40cce5f,0.4,5.4,en,11,18
edc5c168a,0.4,1.9,en,3,6
cd2fd9be8,0.6,2.5,en,4,4
1adc56d3c,0.2,1.7,en,4,12
7964fc4ad,0.1,2.5,en,7,10
c5db00aa6,0.8,1.7,en,2,6
2ce86e3a2,0.2,3.0,en,7,16
fb1a745e6,0.1,0.3,en,2,2
3db150833,0.2,0.2,en,1,1
24afd5f54,0.0,2.5,en,5,18
015c353ce,0.2,4.8,en,9,18
a2cf852c0,0.7,0.7,en,1,2
dcd8e75d3,0.0,0.9,en,3,9
a8055a2ba,0.3,2.8,en,7,9
a6c7f3a13,0.8,0.8,en,1,0
5a3599411,0.3,1.4,en,4,5
871a00e21,0.2,0.4,en,2,5
cc081896e,0.4,2.9,en,5,13
af1125994,0.4,2.8,en,6,5
bd4059588,0.0,0.0,en,1,1
a3740bea8,0.3,2.6,en,5,29
95855babf,0.5,2.2,en,4,5
3cfec8730,0.3,3.0,en,5,14
edba94b45,0.9,3.7,en,4,6
289d0bc8a,0.5,2.0,en,4,7
e5e06c8dd,0.7,1.4,en,2,5
b5010c15b,0.0,0.0,en,1,1
5c109cb7c,0.8,1.6,en,2,2
9579ad7a1,0.3,2.2,en,6,10
eb652ec07,0.1,0.1,en,1,2
81c442177,0.5,3.2,en,6,7
2b5a3c81d,0.4,2.3,en,5,3
6593bd2a2,0.4,1.8,en,4,4
db27a0a42,0.0,0.0,en,1,3
c57a0afef,0.8,0.8,en,1,1
3b0b88ac2,0.0,0.0,en,1,1
4cc8c07d5,0.4,1.4,en,3,2
9d64175e7,0.9,0.9,en,1,1
52dae90aa,0.4,3.6,en,7,13
a91761e54,0.0,0.2,en,4,1
df6205194,0.1,2.7,en,6,12
3d277ebe6,0.4,1.4,en,3,8
bd9d521c5,0.1,1.2,en,6,10
ef5fcd597,0.0,0.5,en,7,10
2abfa66d6,0.4,1.8,en,4,5
99ba6513a,0.1,7.4,en,19,41
70900313d,0.9,0.9,en,1,1
7a785a607,0.4,1.3,en,3,4
40fbb932c,0.4,3.4,en,7,11
372433bc5,0.2,0.2,en,1,0
7f51a7e88,0.3,2.8,en,8,18
80fcac43d,0.4,3.1,en,6,9
f376f922e,0.1,0.1,en,1,2
516fcfdf9,0.0,1.3,en,3,5
081c0a12d,0.2,3.3,en,11,28
f569b3a29,0.2,3.0,en,7,17
9faeb952b,0.4,0.8,en,2,3
9397426ea,0.3,6.4,en,11,14
cccd87749,0.5,4.2,en,8,29
7559336dc,0.4,2.5,en,5,11
0b24f7e7f,-0.5,0.5,en,1,18
8df053c7e,0.0,3.6,en,12,20
9fae764f0,0.3,1.4,zh-Hant,4,13
a9199119d,0.9,0.9,en,1,3
451bf38f1,-0.1,0.3,en,2,5
1fecd2bab,0.1,1.8,en,6,4
9eb98f34c,0.0,0.0,en,1,3
4b69bf0e7,0.4,3.0,en,7,13
4b45ae85f,0.3,0.7,en,2,4
74c7373bd,0.8,0.8,en,1,3
15dc4c629,0.5,2.2,en,4,8
4d7111b92,-0.8,0.8,en,1,5
918408d22,0.3,1.2,en,3,4
030f32f08,0.8,0.8,en,1,3
703f1a4c4,0.5,1.8,en,3,7
85a79f281,0.6,1.2,en,2,3
a71f9ca6b,0.9,3.6,en,4,11
95a89f5f2,0.3,2.5,en,4,8
3e26edfa8,0.3,1.0,en,3,5
2352b7f0e,0.2,5.4,en,18,55
323f562e0,0.3,1.5,en,5,4
e2db9e1eb,0.0,3.5,en,6,23
5bd405bac,0.3,1.5,en,4,6
277e3979a,0.4,0.9,en,2,5
2562fec96,0.2,5.5,en,10,31
c20aa0352,0.6,0.6,en,1,5
745fd19b8,0.0,3.5,en,12,23
a17411df1,0.1,2.3,en,8,23
3c6329c92,0.3,1.4,en,4,17
e3f28534a,0.1,0.4,en,2,11
bc4ba2449,0.5,1.1,en,2,3
f231e1f78,0.5,1.1,en,2,4
b43155295,0.4,2.1,en,5,9
14bbc5876,0.2,1.7,en,5,7
647284f19,0.4,1.6,en,4,9
e7a74fca8,0.0,0.0,en,1,1
a111adc75,0.1,3.3,en,9,27
627726d36,0.8,2.6,en,3,3
e89692f96,0.0,1.5,en,8,17
e58a12b66,-0.3,0.3,en,1,3
ff78347b7,0.5,3.7,en,7,16
c1ba2169b,-0.5,0.5,en,1,4
9f2251ffe,0.2,1.2,en,3,3
2d33077f2,0.9,1.9,en,2,5
231fe619a,0.2,1.3,en,2,6
fbb3db415,0.1,0.1,en,1,2
3a7d3c17e,0.0,3.4,en,10,36
6348b55cb,0.1,0.1,en,1,2
270bd311c,0.0,1.2,en,7,7
77c076881,0.1,1.9,zh,8,10
c02a9554d,0.4,0.9,en,2,5
21f4a6abf,0.1,3.9,en,8,12
ed390241b,-0.1,2.5,en,7,25
218f8bb3a,0.6,2.6,en,4,18
00bfa5da9,0.1,2.1,zh,6,19
14cbb81c8,0.1,3.9,en,11,32
5e7b512bb,0.1,0.1,en,1,4
15df9cd46,0.4,2.9,en,7,11
23379775f,0.6,5.7,en,8,19
09f31b13e,0.2,0.2,en,1,4
b0cc3078c,0.1,1.3,en,3,4
4e47644c8,0.3,1.6,en,5,8
2b47d7f0d,0.4,1.8,en,4,7
12653b9bc,0.3,1.8,en,6,8
f8b827be1,0.6,4.4,en,7,16
1be58123d,0.6,2.4,en,4,7
bb170fd98,0.3,0.7,en,2,7
5c810c552,0.7,1.4,en,2,4
e1f0c1add,0.3,3.1,en,6,10
232aee73d,0.4,1.3,en,3,15
d9175b948,-0.1,0.5,en,3,10
1751240fe,0.1,0.7,en,4,11
48a2123f4,0.0,2.6,en,11,15
c135e081f,0.2,2.7,en,6,20
dcc0d8482,0.5,1.1,en,2,4
1a2f33fec,0.9,0.9,en,1,2
3eaa698d3,0.0,1.2,en,4,7
35b728d0d,0.2,3.2,en,7,22
fc537bc7f,0.3,4.9,en,14,14
983160271,0.1,0.1,en,1,0
51c4018b8,0.3,2.1,en,4,11
3757e3734,0.5,2.1,en,4,8
abdeff83f,0.2,1.4,en,5,7
4dc936ac7,0.5,2.3,en,4,5
a6adb9a9f,0.0,2.0,en,9,18
db77fdb46,0.6,1.9,en,3,13
687c0c2cd,0.0,0.2,en,4,8
f5fd255aa,0.8,0.8,en,1,2
5376c81df,0.2,1.5,en,5,8
37865f566,0.6,3.6,en,5,9
6d59be88d,0.0,0.0,en,1,1
7e3680561,0.1,0.2,en,2,5
b0278d962,0.3,0.9,en,3,3
08267e916,0.1,2.1,zh,6,19
158a55025,0.0,3.3,en,9,18
cd3cd5fcc,0.1,1.1,en,5,15
3330252db,0.3,2.5,en,7,12
640e18ef0,0.4,1.4,en,3,11
6984b9727,0.7,2.2,en,3,1
ebdf19959,0.4,2.7,en,6,16
8f1bdc253,0.1,11.5,en,28,68
2c5b817a7,0.0,3.7,en,11,18
1e8b70d35,0.3,1.1,en,3,3
acdf99f98,0.1,1.6,en,3,4
e10252ca3,0.8,0.8,en,1,4
4a311c6dc,0.0,0.6,en,4,9
fd123a15d,0.0,0.2,en,3,8
e12797ab1,0.6,0.6,en,1,2
b73a7ca90,0.5,1.7,en,3,4
e27ac6865,0.1,0.8,en,4,13
1bbf00182,0.6,2.6,en,4,6
02f89bdcb,0.4,2.6,en,5,4
5ea1f2c39,0.5,5.7,en,10,18
d3077e6b1,0.2,3.5,en,8,15
689e4e3bf,0.8,1.6,en,2,4
750f8baba,0.2,0.7,en,3,5
